tag	text
0	This Arizona State University (ASU) Privacy Statement provides information required by Arizona law about ASU¡¦s online information gathering and dissemination practices.
0	Individual pages on ASU websites may provide additional information.
1	"In addition to the information in this Privacy Statement, ASU¡¦s Terms of Use and Computer, Internet, and Electronic Communications Information Management Policy set forth requirements that you must follow when using ASU¡¦s websites and technology network.'"
1	"If you are in the European Union, please also review ASU¡¦s Supplemental Privacy Provisions for Persons in the European Union."
1	"These EU Supplemental Privacy Provisions provide additional information regarding ASU¡¦s processing of personal data you submit or disclose to ASU (or to a third party that transfers it to ASU for processing) while you are in the European Union, Switzerland, or any other jurisdiction that has enacted similar privacy laws."
0	"We encourage you to periodically review this Privacy Statement, as well as any information linked from this Privacy Statement, because we may update it from time to time."
0	ASU¡¦s websites provide online information and services to all users of ASU¡¦s technology network (Users) consistent with ASU¡¦s Charter and Mission.
0	"In addition to information and services provided on ASU websites, ASU may also provide connections to external services and information provided by non-ASU service providers."
1	"These non-ASU provided services may include Amazon Web Services, Microsoft 365 and Windowa, and the education versions of Dropbox and Google, which includes Gmail."
1	Non-ASU service providers have their own privacy policies that are not covered by this Privacy Statement.
0	ASU is not responsible for the privacy practices or policies of non-ASU service providers.
0	We recommend you review the privacy practices and policies of all non-ASU service providers.
1	ASU collects information actively provided by Users.
1	"We may also collect information about the computers, mobile devices, or other devices you use to access ASU¡¦s websites and technology network, such as IP address, unique device identifiers, browser types, browser languages, web pages visited, network software access, referring web pages, date, time, and duration of activity, passwords, and accounts accessed, volume of data storage and transfers, and locations of User devices when connected to ASU¡¦s websites and technology network."
0	Logs of this information may be retained.
0	We may contract with non-ASU service providers to help us better understand Users.
1	"ASU uses information collected to provide services, in support of ASU¡¦s Charter and Mission, to protect the security of ASU¡¦s technology network, to support academic integrity, and to provide safety and security services to Users, as well as to monitor, preserve, and enhance the use, functioning, and integrity of ASU¡¦s technology network."
1	ASU may also use information collected from you for analysis and statistical purposes consistent with ASU¡¦s Charter and Mission.
0	Cookies are small files that are stored on your computing devices.
1	We use cookies to understand and save your preferences for future visits and compile aggregate data about network traffic and network interaction so that we can offer better network experiences and tools in the future.
0	Cookies may be set by organizations other than ASU.
0	"Because the cookie policies of these third party service providers may change over time, you should review their policies by visiting their privacy policies directly."
0	"We also use targeting and advertising cookies, which may be set by ASU or by third parties."
0	Users may disable cookies through their individual browser options.
0	"However, if you do not accept cookies, you may not be able to use some portions of our websites or technology network."
0	The following describes the types of cookies ASU uses on our websites: Required or Strictly Necessary Cookies.
0	These cookies are essential for our websites to operate correctly and to provide you with requested services.
0	"For example, we use cookies to authenticate you, so when you log on to ASU websites, we know who you are."
0	Functionality Cookies.
1	"We use functionality cookies to enhance website features, such as videos and live chat, and for personalization, such as storing your preferences"
0	Functionality cookies may be set by ASU or by third parties whose services we have added to our websites.
0	"If you do not allow these cookies, you may not be able to use some portions of our websites or technology network, and some website may not work properly."
0	Social Media Cookies.
0	Social media cookies may be set by third parties such as YouTube and Facebook to collect information about your social media usage.
0	Analytics Cookies.
1	"Analytics cookies collect information about your use of our websites and technology network, and help us improve the way it works."
0	"For example, analytics cookies identify the most frequently visited pages, record any difficulties you have, and show whether our advertising is effective."
0	"This allows us to see the overall patterns of usage, rather than the usage of a single person."
0	We use the information to analyze the websites' traffic.
0	Targeting/Advertising Cookies.
0	We use targeting/advertising cookies to create profiles and personalize content.
0	"We may use third party products, such as Google Analytics, to market ASU¡¦s services to you on third party websites."
0	"For example, if you visit ASU websites, you may then see advertisements for ASU on other websites."
0	You can learn more about cookies and their functions generally by visiting an information website such as allaboutcookies.org.
0	Do Not Track Signals.
0	"Some web browsers have a ""Do Not Track"" (DNT) feature that tells websites that users do not want to have their online activity tracked."
1	"If you prefer not to provide information to ASU through our websites or technology network, you may contact the ASU administrative unit responsible for the service to learn about available options."
1	"ASU does not disclose confidential information we collect online to individuals or entities not affiliated with ASU, except in the limited circumstances described below."
0	"Non-confidential information may be disclosed or distributed pursuant to federal laws, state laws, including Arizona¡¦s public records laws, and ASU and Arizona Board of Regents (ABOR) policies."
0	These laws and policies explain what information may be shared or disclosed.
0	They also explain what information is protected as confidential.
0	Student Records.
0	"Certain records of students are protected by the federal Family Educational Rights and Privacy Act (FERPA), Arizona law, and ASU Policy."
1	Information about students¡¦ access to their education records and protection of education records is available in ASU¡¦s Student Services Manual in Section 107-01.
0	This policy also provides information on students¡¦ rights to limit access to their directory information.
0	"ASU may disclose confidential student information with the consent of the student, under subpoena or court order, or in other limited circumstances as permitted by FERPA and other applicable laws."
0	Employee Records.
1	"Access to ASU personnel records is governed by ABOR Policy 6-912, ACD 811, SPP 1101, and Arizona law."
0	Public Records Laws.
0	ASU may be required to provide access to ASU records to third parties pursuant to Arizona¡¦s public records laws ARS ¡±¡± 39-121 through 39-161.
0	Additional information about Arizona¡¦s public records laws is available at ogc.asu.edu/public-records/.
0	Court Order or Public Safety.
0	"ASU may be required to disclose confidential information pursuant to a valid court order or lawfully issued and served subpoena, search warrant, or other legal order."
