tag	text
0	"We know that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly."
0	"This Privacy Notice describes how Amazon.com and its affiliates (collectively ""Amazon"") collect and process your personal information through Amazon websites, devices, products, services, online and physical stores, and applications that reference this Privacy Notice (together ""Amazon Services"")"
0	"By using Amazon Services, you are consenting to the practices described in this Privacy Notice."
1	We collect your personal information in order to provide and continually improve our products and services.
1	Here are the types of personal information we collect:
0	Information You Give Us: We receive and store any information you provide in relation to Amazon Services.
0	Click here to see examples of what we collect.
1	"You can choose not to provide certain information, but then you might not be able to take advantage of many of our Amazon Services."
1	"Automatic Information: We automatically collect and store certain types of information about your use of Amazon Services, including information about your interaction with content and services available through Amazon Services."
0	"Like many websites, we use ""cookies"" and other unique identifiers, and we obtain certain types of information when your web browser or device accesses Amazon Services and other content served by or on behalf of Amazon on other websites.',  'Click here to see examples of what we collect."
1	"Information from Other Sources: We might receive information about you from other sources, such as updated delivery and address information from our carriers, which we use to correct our records and deliver your next purchase more easily."
0	Click here to see additional examples of the information we receive.
1	"We use your personal information to operate, provide, develop, and improve the products and services that we offer our customers."
0	These purposes include:\nPurchase and delivery of products and services.
1	"We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers."
0	"Provide, troubleshoot, and improve Amazon Services."
1	"We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services."
0	Recommendations and personalization.
1	"We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services."
0	"Provide voice, image and camera services."
0	"When you use our voice, image and camera services, we use your voice input, images, videos, and other personal information to respond to your requests, provide the requested service to you, and improve our services."
0	"For more information about Alexa voice services , click here."
0	Comply with legal obligations.
1	"In certain cases, we collect and use your personal information to comply with laws."
1	"For instance, we collect from sellers information regarding place of establishment and bank account information for identity verification and other purposes."
0	Communicate with you.
1	"We use your personal information to communicate with you in relation to Amazon Services via different channels (e.g., by phone, email, chat)."
1	"We use your personal information to display interest-based ads for features, products, and services that might be of interest to you."
1	We do not use information that personally identifies you to display interest-based ads.
0	"To learn more, please read our Interest-Based Ads notice."
0	Fraud Prevention and Credit Risks.
1	"We use personal information to prevent and detect fraud and abuse in order to protect the security of our customers, Amazon, and others."
0	We may also use scoring methods to assess and manage credit risks.
0	"To enable our systems to recognize your browser or device and to provide and improve Amazon Services, we use cookies and other identifiers."
0	"For more information about cookies and how we use them, please read our Cookies Notice."
1	"Information about our customers is an important part of our business, and we are not in the business of selling our customers' personal information to others."
1	"We share customers' personal information only as described below and with subsidiaries Amazon.com, Inc. controls that either are subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice."
0	"Transactions involving Third Parties: We make available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services."
0	"For example, you can order products from third parties through our stores, download applications from third-party application providers from our App Store, and enable third-party skills through our Alexa services."
0	"We also offer services or sell product lines jointly with third-party businesses, such as co-branded credit cards."
0	"You can tell when a third party is involved in your transactions, and we share customers' personal information related to those transactions with that third party."
0	Third-Party Service Providers: We employ other companies and individuals to perform functions on our behalf.
