tag	data
0	WELCOME TO DISCORD!
0	"Discord, Inc. provides a social online and mobile chat platform via the Discord website (the “Site”), the Discord application (the “App”) and related Internet services (collectively, the “Service(s)”)."
0	"The Service is operated by Discord, Inc. (the “Company”, “we” or “us”) for users of the Service (“you”). "
0	This Privacy Policy sets forth our policy with respect to information that is collected from visitors to the Site and users of the App and/or the Services.
0	"Under applicable law, Discord, Inc. is the “data controller” of personal data collected through the Services."
0	INFORMATION WE COLLECT
0	"When you interact with us through the Services, we may collect information from you, as further described below:"
0	Information You Provide: 
0	"We collect information from you when you voluntarily provide such information, such as when you register for access to the Services or use certain Services."
0	"Information we collect may include but not be limited to username, email address, and any messages, images, transient VOIP data (to enable communication delivery only) or other content you send via the chat feature."
0	OTHER INFORMATION:
0	Data We Collect Automatically:
0	"When you interact with us through the Services, we receive and store certain information such as an IP address, device ID, and your activities within the Services. "
0	"We may store such information or such information may be included in databases owned and maintained by affiliates, agents or service providers. "
0	"The Services may use such information and pool it with other information to track, for example, the total number of visitors to our Site, the number of messages users have sent, as well as the sites which refer visitors to Discord."
0	Aggregated Information:
0	"In an ongoing effort to better understand and serve the users of the Services, we may conduct research on our customer demographics, interests and behavior based on the information collected."
1	"This research may be compiled and analyzed on an aggregate basis, and we may share this aggregate data with our affiliates, agents and business partners."
1	"We may also disclose aggregated user statistics in order to describe our services to current and prospective business partners, and to other third parties for other lawful purposes."
0	Info through other Services:
0	You may give us permission to collect your information in other services. 
0	" For example, you may connect a social networking service (""SNS"") such as Facebook or Twitter to your Discord account."
0	"When you do this, it allows us to obtain information from those accounts (for example, your friends or contacts)."
0	Cookies: 
0	We employ cookies and similar technologies to keep track of your local computer’s settings such as which account you have logged into and notification settings.
0	Cookies are pieces of data that sites and services can set on your browser or device that can be read on future visits. 
1	We may expand our use of cookies to save additional data as new features are added to the Service.
1	"In addition, we use technologies such as web beacons and single-pixel gifs to record log data such as open rates for emails sent by the system."
1	We may use third party web site analytic tools such as Google Analytics on our website that employ cookies to collect certain information concerning your use of our Services. 
0	"However, you can disable cookies by changing your browser settings. "
0	Further information about the procedure to follow in order to disable cookies can be found on your Internet browser provider's website via your help screen.
0	Advertisements:
0	You may see our Service advertised in other applications or websites. 
0	"After clicking on one of these advertisements and installing our Service, you will become a user of the Service"
1	"Advertising platforms, which include Twitter and Facebook (and whose SDKs are integrated within our Service), may collect information for optimizing advertising campaigns outside of the Service."
0	"If you do not wish to receive personalized advertising that is delivered by third parties outside of the Discord Service, you may be able to exercise that choice through opt-out programs that are administered by third parties."
0	WHERE INFORMATION IS PROCESSED
0	The Company is based in the United States. 
0	"No matter where you are located, you consent to the processing and transferring of your information in and to the U.S. and other countries."
0	The laws of the U.S. and other countries governing data collection and use may not be as comprehensive or protective as the laws of the country where you live.
0	OUR USE OF YOUR INFORMATION
0	We use the information you provide in a manner that is consistent with this Privacy Policy. 
0	"If you provide information for a certain reason, we may use the information in connection with the reason for which it was provided. "
0	"For instance, if you contact us by email, we will use the information you provide to answer your question or resolve your problem."
0	"Also, if you provide information in order to obtain access to the Services, we will use your information to provide you with access to such services and to monitor your use of such services"
0	OUR LEGAL BASES FOR HANDLING OF YOUR PERSONAL DATA
0	The laws in some jurisdictions require companies to tell you about the legal ground they rely on to use or disclose your personal data.
0	"To the extent those laws apply, our legal grounds are as follows:"
0	"To honor our contractual commitments to you: Much of our processing of personal data is to meet our contractual obligations to our users, or to take steps at users’ request in anticipation of entering into a contract with them."
0	"Legitimate interests: In many cases, we handle personal data on the ground that it furthers our legitimate interests in ways that are not overridden by the interests or fundamental rights and freedoms of the affected individuals"
0	OUR DISCLOSURE OF YOUR INFORMATION
0	The Company is not in the business of selling your information. 
0	We consider this information to be a vital part of our relationship with you. 
1	Business Transfers: 
1	"As we develop our business, we might sell or buy businesses or assets. "
1	"In the event of a corporate sale, merger, reorganization, bankruptcy, dissolution or similar event, your information may be part of the transferred assets."
0	Consent:
1	We may transfer your information with your consent.
0	Related Companies:
0	We may also share your information with our Related Companies for purposes consistent with this Privacy Policy.
0	Developers:
0	"Developers using our SDK or API will have access to their end users’ information, including message content, message metadata, and voice metadata."
0	Developers must use such information only to provide the SDK/API functionality within their applications and/or services.
0	"Agents, Consultants and Related Third Parties:"
0	"Like many businesses, we sometimes hire other companies or individuals to perform certain business-related functions."
0	"Examples of such functions include mailing information, maintaining databases and processing payments."
0	Legal Requirements:
0	"We may disclose your information if required to do so by law or in the good faith belief that such action is necessary to (i) comply with a legal obligation, (ii) protect and defend the rights or property of the Company or Related Companies, (iii) protect the personal safety of users of the Services or the public, or (iv) protect against legal liability."
