tag	text
0	Privacy Policy - United States
0	DoorDash Consumers
0	"Effective Date: December 21, 2020"
0	"This Privacy Policy (“Policy”) explains how we collect, use, disclose and protect Personal Information (as it is defined below) of our customers and users."
0	"It applies to all Personal Information collected by us on www.doordash.com and www.trycaviar.com (the “Site”), the DoorDash and Caviar mobile applications, and any other websites or mobile applications that link to this Policy, as well as during any written, electronic, and oral communications (collectively, the “Services”)."
0	"DoorDash, Inc. (“DoorDash,” “we,” “us,” or “our”) is committed to protecting your privacy."
1	DoorDash may collect Personal Information to help you place and receive orders and to improve the DoorDash service.
0	"Your access to and use of our Services are subject to our Terms and Conditions, which define some of the terms used throughout this Policy. Please make sure that you have carefully read and understand the Terms and Conditions before you use our Services. By using our Services, you accept the Terms and Conditions, and accept our privacy practices described in this Policy. If you do not feel comfortable with any part of this Policy or our Terms and Conditions, you must not use or access our Services."
0	The Company uses a network of independent third-party contractors (“Dashers” or “Couriers”) who provide delivery services to our users and food service providers. Dashers should refer to the Dasher Privacy Statement for information on how DoorDash collects and uses Dashers’ Personal Information.
0	"Our Services may change from time to time. As a result, we reserve the right to update or modify this Policy at any time and from time to time without prior notice. If we make any material changes to the way we process your Personal Information, we will notify you before such changes are effective. If you object to any changes, you must cease using our Services. We recommend you review this Policy periodically. This Policy became effective on the date indicated at the top of this page. Your continued use of our Services after any changes or revisions to this Policy indicates your agreement to the terms of the revised Policy."
0	1.   Collection of Personal Information
0	"When you use our Services, we may collect or receive Personal Information about you to provide our services and operate our business. The types of Personal Information that we may collect about you are:"
0	a. Information You Provide to Us Directly
0	"You may provide your Personal Information to us when you use our Services, including when you register with DoorDash, search within or place orders through our Services, contact us with inquiries, respond to surveys, or otherwise access our Services. This information may include:"
0	"User Profile – We collect profile information associated with your Customer DoorDash account. This includes information such as name, email address, delivery address, and phone number."
0	"Order Details – When you place an order through our Services we collect information related to that order. This may include information such as items purchased, special instructions, date and time of order, and subtotal."
0	Payment Information – Payment information collected such as bank name and payment method.
1	"Surveys – From time-to-time, we invite our customers and users to participate in surveys or contests. When a customer or a user participates, we may request certain Personal Information such as name and email address."
0	b. Information Received From You as Part of Your Communications
1	" When you use our Services (for example on our Site), complete electronic forms, communicate with Dashers or contact us, by online chat, email, phone or text, we may automatically collect and store certain information about you and the activity you engaged in, for example: your name and contact information; your order details; information that you voluntarily provide to us; the nature of your communication; the purpose of the interaction, and the action we took in response to your inquiry or request."
0	 c. Information Collected Automatically
0	 We also may receive and store certain information about you and your device(s) automatically when you access or use our Site and Services. This information may include:
0	"Technical Information – We collect technical information associated with your activity on our Site and may include information related to your browser and operating system, IP address (the Internet address of your computer) unique device identifiers, and other information such as your device type. We use such information for diagnostic and statistical purposes and to administer our Services."
0	" Site Usage Information – We collect information to better understand customer traffic patterns and Site usage. This may include the webpage that you were visiting before accessing our Site or mobile application, the pages or features of our Site or mobile application that you browsed to inform us which part of our Site, app and Services you visit and how much time you spend there. This information is used to analyze and improve our Site and to provide our customers with a better user experience."
0	 Site Preferences – We collect information about your preferences to make your use of the Site more productive through the use of cookies.
0	d. Location Information
0	" When you use the Services, we may collect and store general location information (such as IP address). If you permit the Services to access location services through the permission system used by your mobile operating system (“Platform”) or browser, we may also collect and store the precise location of your device when the DoorDash app is running in the foreground or background of your device. This information may be used to help you select your delivery address, to provide more accurate deliveries of your orders, to provide recommendations to you, and to enhance your user experience and improve the services. You can choose whether to enable the location tracking feature through the settings on your device or Platform or when prompted by the DoorDash mobile app. If you choose to disable the location feature, the Dasher will not receive precise location information from your device, which may compromise the accuracy of deliveries in some situations, for instance, if you are located in a large area, such as a park."
0	 e. Information Related to the Referral Program
0	"DoorDash allows users to invite friends and family to sign up for our Services. Sometimes we offer a promotional value for every friend or family member who signs up and places an order through your referral link. To help you do this, we may request you to grant us access to your mobile device address book. You can then direct us to send referral emails to contacts you select in your address book. By sending a referral, you also consent to DoorDash sending your public profile image to the contacts you select to receive a referral link. By choosing to invite a friend you represent that you have received the friend’s consent to provide his or her name and email address with us. DoorDash will use that information to send an email inviting him or her to visit the site and will store that information to track the success of the referral program and may send marketing emails. You can also send an SMS with a referral link to your contacts. If you use this option, you understand that DoorDash does not control the timing, content, or recipients of these SMS messages."
0	"Users may not send, publish, or share any false, misleading, or deceptive communications in connection with participation in the Referral Program. Such actions may violate various federal, state, and/or international laws, including, but not limited to, the regulations and policies promulgated by the Federal Trade Commission. Users may not send any referral emails, SMS messages, or other communications to children under the age of 13."
0	" If you are referred to DoorDash through one of our referral programs, or if someone attempts to refer you, we may share your name, whether you have already signed up for DoorDash, whether you are a new customer, and whether you have placed a qualifying order with DoorDash with the person(s) who referred you."
