tag	data
0	The Scope of This Policy
0	"This policy applies to all Lyft users, including Riders and Drivers (including Driver applicants), and to all Lyft platforms and services, including our apps, websites, features, and other services (collectively, the “Lyft Platform”). "
0	The Information We Collect
0	"When you use the Lyft Platform, we collect the information you provide, usage information, and information about your device. "
0	"We also collect information about you from other sources like third-party services, and optional programs in which you participate, which we may combine with other information we have about you."
0	Here are the types of information we collect about you:
0	A. Information You Provide to Us
0	Account Registration.
0	"When you create an account with Lyft, we collect the information you provide us, such as your name, email address, phone number, birth date, and payment information. "
0	"You may choose to share additional info with us for your Rider profile, like your photo or saved addresses (e.g., home or work), and set up other preferences (such as your preferred pronouns)."
0	Driver Information. 
0	"If you apply to be a Driver, we will collect the information you provide in your application, including your name, email address, phone number, birth date, profile photo, physical address, government identification number (such as social security number), driver’s license information, vehicle information, and car insurance information."
0	"We collect the payment information you provide us, including your bank routing numbers, and tax information. Depending on where you want to drive, we may also ask for additional business license or permit information or other information to manage driving and programs relevant to that location. "
0	"We may need additional information from you at some point after you become a Driver, including information to confirm your identity (like a photo)."
0	Ratings and Feedback. 
0	"When you rate and provide feedback about Riders or Drivers, we collect all of the information you provide in your feedback."
0	Communications. 
0	"When you contact us or we contact you, we collect any information that you provide, including the contents of the messages or attachments you send us."
0	B. Information We Collect When You Use the Lyft Platform
0	Location Information. 
0	Great rides start with an easy and accurate pickup. 
0	The Lyft Platform collects location information (including GPS and WiFi data) differently depending on your Lyft app settings and device permissions as well as whether you are using the platform as a Rider or Driver:
0	"Riders: We collect your device’s precise location when you open and use the Lyft app, including while the app is running in the background from the time you request a ride until it ends. Lyft also tracks the precise location of scooters and e-bikes at all times."
0	"Drivers: We collect your device’s precise location when you open and use the app, including while the app is running in the background when it is in driver mode. "
0	"We also collect precise location for a limited time after you exit driver mode in order to detect ride incidents, and continue collecting it until a reported or detected incident is no longer active."
0	Usage Information.
0	"We collect information about your use of the Lyft Platform, including ride information like the date, time, destination, distance, route, payment, and whether you used a promotional or referral code. "
0	"We also collect information about your interactions with the Lyft Platform like our apps and websites, including the pages and content you view and the dates and times of your use."
0	Device Information. 
0	" We collect information about the devices you use to access the Lyft Platform, including device model, IP address, type of browser, version of operating system, identity of carrier and manufacturer, radio type (such as 4G), preferences and settings (such as preferred language), application installations, device identifiers, advertising identifiers, and push notification tokens. "
0	"If you are a Driver, we also collect mobile sensor data from your device (such as speed, direction, height, acceleration, deceleration, and other technical data)."
0	Communications Between Riders and Drivers.
0	We work with a third party to facilitate phone calls and text messages between Riders and Drivers without sharing either party’s actual phone number with the other.
0	"But while we use a third party to provide the communication service, we collect information about these communications, including the participants’ phone numbers, the date and time, and the contents of SMS messages."
0	Address Book Contacts. 
0	"You may set your device permissions to grant Lyft access to your contact lists and direct Lyft to access your contact list, for example to help you refer friends to Lyft. If you do this, we will access and store the names and contact information of the people in your address book."
0	"Cookies, Analytics, and Third-Party Technologies. "
0	"We collect information through the use of “cookies”, tracking pixels, data analytics tools like Google Analytics, SDKs, and other third-party technologies to understand how you navigate through the Lyft Platform and interact with Lyft advertisements, to make your Lyft experience safer, to learn what content is popular, to improve your site experience, to serve you better ads on other sites, and to save your preferences. "
0	Cookies are small text files that web servers place on your device; they are designed to store basic information and to help websites and apps recognize your browser. 
0	C. Information We Collect from Third Parties
0	Third-Party Services. 
0	"Third-party services provide us with information needed for core aspects of the Lyft Platform, as well as for additional services, programs, loyalty benefits, and promotions that can enhance your Lyft experience. "
0	Enterprise Programs.
0	"If you use Lyft through your employer or other organization that participates in one of our Lyft Business enterprise programs, we will collect information about you from those parties, such as your name and contact information."
0	Concierge Service.
0	"Sometimes another business or entity may order you a Lyft ride. If an organization has ordered a ride for you using our Concierge service, they will provide us your contact information and the pickup and drop-off location of your ride."
0	Referral Programs.
0	"Friends help friends use the Lyft Platform. If someone refers you to Lyft, we will collect information about you from that referral including your name and contact information."
0	How We Use Your Information
0	We use your personal information to:
0	Provide the Lyft Platform;
0	Maintain the security and safety of the Lyft Platform and its users;
0	Build and maintain the Lyft community;
0	Provide customer support;
0	Improve the Lyft Platform; and
0	Respond to legal proceedings and obligations.
0	"We use your personal information to provide an intuitive, useful, efficient, and worthwhile experience on our platform. To do this, we use your personal information to:"
0	"Verify your identity and maintain your account, settings, and preferences;"
0	Connect you to your rides and track their progress;
0	Calculate prices and process payments;
0	"Providing you a secure and safe experience drives our platform, both on the road and on our apps. To do this, we use your personal information to:"
0	Authenticate users;
0	Verify that Drivers and their vehicles meet safety requirements;
0	"Investigate and resolve incidents, accidents, and insurance claims;"
0	Encourage safe driving behavior and avoid unsafe activities;
0	Building and Maintaining the Lyft Community. 
0	"Communicate with you about events, promotions, elections, and campaigns;"
1	"Personalize and provide content, experiences, communications, and advertising to promote and grow the Lyft Platform; and"
0	Help facilitate donations you choose to make through the Lyft Platform.
0	"We work hard to provide the best experience possible, including supporting you when you need it. "
0	Investigate and assist you in resolving questions or issues you have regarding the Lyft Platform; and
0	Provide you support or respond to you.
0	Improving the Lyft Platform. 
0	We are always working to improve your experience and provide you with new and helpful features.
0	"To do this, we use your personal information to:"
0	"Perform research, testing, and analysis;"
0	"Develop new products, features, partnerships, and services;"
0	"Prevent, find, and resolve software or hardware bugs and issues; and"
0	"Monitor and improve our operations and processes, including security practices, algorithms, and other modeling."
0	Responding to Legal Proceedings and Requirements.
0	"Sometimes the law, government entities, or other regulatory bodies impose demands and obligations on us with respect to the services we seek to provide. In such a circumstance, we may use your personal information to respond to those demands or obligations."
0	How We Share Your Information
0	We do not sell your personal information. 
0	"To make the Lyft Platform work, we may need to share your personal information with other users, third parties, and service providers. "
0	This section explains when and why we share your information.
0	A. Sharing Between Lyft Users
0	"Rider information shared with Driver: Upon receiving a ride request, we share with the Driver the Rider’s pickup location, name, profile photo, rating, Rider statistics (like approximate number of rides and years as a Rider), and information the Rider includes in their Rider profile (like preferred pronouns)."
0	"Upon pickup and during the ride, we share with the Driver the Rider’s destination and any additional stops the Rider inputs into the Lyft app. "
0	"Once the ride is finished, we also eventually share the Rider’s rating and feedback with the Driver. "
1	B. Sharing With Third-Party Service Providers for Business Purposes
1	"Depending on whether you’re a Rider or a Driver, Lyft may share the following categories of your personal information for a business purpose (as we have done for the preceding 12 months) to provide you with a variety of the Lyft Platform’s features and services:"
1	"Personal identifiers, such as your name, address, email address, phone number, date of birth, government identification number (such as social security number), driver’s license information, vehicle information, and car insurance information;"
1	"Financial information, such as bank routing numbers, tax information, and any other payment information you provide us;"
1	"Internet or other electronic network activity information, such as your IP address, type of browser, version of operating system, carrier and/or manufacturer, device identifiers, and mobile advertising identifiers; and"
1	"Commercial information, such as ride information, Driver/Rider statistics and feedback, and Driver/Rider transaction history;"
1	Location data.
0	C. For Legal Reasons and to Protect the Lyft Platform
0	"We may share your personal information in response to a legal obligation, or if we have determined that sharing your personal information is reasonably necessary or appropriate to:"
0	"Comply with any applicable federal, state, or local law or regulation, civil, criminal or regulatory inquiry, investigation or legal process, or enforceable governmental request;"
0	"Respond to legal process (such as a search warrant, subpoena, summons, or court order);"
0	Enforce our Terms of Service;
0	"Cooperate with law enforcement agencies concerning conduct or activity that we reasonably and in good faith believe may violate federal, state, or local law; or"
0	"Exercise or defend legal claims, protect against harm to our rights, property, interests, or safety or the rights, property, interests, or safety of you, third parties, or the public as required or permitted by law."
