tag	text
0	"The MathWorks, Inc. (¡§MathWorks¡¨) and its worldwide offices take your privacy seriously."
1	This Privacy Policy describes what personal data we collect from you when you interact with MathWorks or use our products and services.
1	It explains how we use your personal data and what rights and options you have.
0	"This Privacy Policy also describes our compliance with global privacy laws, including the European Union General Data Protection Regulation (GDPR)."
0	MathWorks does not sell or rent your information.
0	We only disclose your information to third parties for the limited purposes described in this Privacy Policy.
0	This Privacy Policy is presented in two parts.
0	Part One describes our privacy practices generally.
0	"Part Two provides details on specific products and services, including our web site and our use of cookies."
0	"Information We Collect MathWorks may collect certain types of information about you when you access and use our products and services, visit our web site, or interact with us in other ways such as attending a MathWorks event."
1	"The categories of information we collect are: Name and contact information, such as your first and last name, phone number, mailing address, email address, and country."
1	"Organizational information, such as the name of your company or institution and your role and title."
1	"Account information, such as your MathWorks Account login and password."
1	"We also may store account information that you provide to us relating to your accounts with third-party service providers, if you choose to integrate your MathWorks Account with your accounts on third-party services."
1	"Payment information, such as your credit card number, if you make a purchase from us."
0	"License information, such as the MathWorks products and services you have purchased and the licensed users and devices for those products."
0	"Usage information, such as which MathWorks products and services you are using, which third-party products or services you are using that integrate with MathWorks products or services, when you access or use the products and services, error reports, and performance data."
1	"This includes web analytics information, such as the pages on our web site that you visited and the links you clicked on."
1	"Device and network information, such as your IP address, operating system, preferred language, SSL certificates, and browser type."
0	"The content of your communications to us, such as feedback, customer support requests, and technical support requests."
0	These may include emails or recordings of phone calls.
0	"Other information that you submit to MathWorks voluntarily, such as requests for information about upcoming events, files and data that you store using MathWorks online services, and submissions to community areas of the MathWorks web site."
0	"How We Collect Information We collect usage, device, and network information when you access our web site or use our products."
0	"The rest of the information listed above may come directly from you; from our authorized resellers and distributors, affiliates, vendors, or other business partners, such as companies that help us organize events; or from an organization or guardian who has authority to provide the information on your behalf"
0	"In cases where your organization licenses or purchases products or services that you use, creates an account on your behalf, or otherwise administers your use of MathWorks products and services, your use may be subject to your organization¡¦s policies."
1	"Your license administrators can access certain information about you, such as your name, email address, the products to which you have access under your organization¡¦s license, and information about your usage of those products."
0	"MathWorks is not responsible for the privacy or security practices of your organization, which may differ from those set forth in this Privacy Policy."
0	"If your organization is administering your use of MathWorks products and services, please direct your privacy inquiries to your organization or administrator."
1	"How We Use Your Information\nWe use the personal information that we collect for the following purposes: To provide products, services, and support requested by you or on your behalf."
0	"To process and ship orders that you place with us or that are placed on your behalf, and to provide you with documentation or other material in support of such orders."
0	To authenticate and secure your MathWorks Account or your use of our products and services.
0	To manage licenses and ascertain use of our products and services.
0	"To administer and improve our products and services, including our web site."
0	"To enable delivery of consulting or training services and participation in seminars, trade shows, and other events."
0	"To provide any communication or material necessary to respond to an order for a product or service, a request for support or information, or an application for a seminar, trade show, or other event."
0	"To solicit optional feedback in the form of surveys measuring customer satisfaction with MathWorks products, services, and events."
0	"To notify you of new products, updates, or other information related to purchases or your information requests."
0	"To provide important information regarding the renewal of agreements, version upgrades, and other notifications about products and services that you license or use."
0	"To send promotional material about our company, products, services, and events and, in some cases, on behalf of related third-party products, services, and events."
0	You may opt out of receiving promotional materials by email.
0	To market and sell our products and services.
0	You may opt out of marketing emails.
1	MathWorks does not use personal information of K¡V12 students with school accounts for marketing purposes.
0	To allow you to integrate MathWorks products and services with third-party services at your request.
0	This Privacy Policy does not apply to any such third-party services.
0	"To process an employment-related request or application from you, subject to a separate Careers Privacy Policy."
0	"To enforce our agreements or comply with obligations imposed by applicable laws, regulations, or a court or administrative order."
1	"We may be required to disclose an individual¡¦s personal information in response to a lawful request by public authorities, including to meet national security or law enforcement requirements."
1	"We may store your information outside your country of residence, wherever we or our third-party service providers operate."
1	"We may retain your information for as long as needed to fulfill the purposes outlined in this Privacy Policy, or as allowed or required by law."
1	"We may also retain and use your information as necessary to comply with our legal obligations, resolve disputes, prevent fraud and abuse, and enforce our agreements."
1	We determine how long to retain your information based on its purpose and usefulness.
1	"For example, if you once consented to receiving marketing emails but subsequently did not communicate with us or use any of our products or services, we may delete your information."
0	"However, if you have a perpetual license to one of our products, we may need to maintain a record of your license indefinitely."
0	"See Part Two below for detailed information about how each of our products and services, including our web site, collects and uses data."
0	"Part Two also describes our use of cookies, web analytics, and ¡§Do Not Track¡¨ settings."
1	Reasons We Share Your Information MathWorks will not sell or rent your personal information to other companies.
1	"We will not disclose your personal information to other companies, except in the limited manner and for the limited purposes described in this Privacy Policy."
0	"MathWorks may share information with affiliates, partners, service providers, authorized resellers and distributors, and other third parties in order to fulfill the limited purposes described in Section 3 above."
0	MathWorks may also disclose aggregate information that does not personally identify individuals to third parties.
1	"When we share personal information, we use a contract requiring the recipient to protect your personal data in compliance with law."
0	"If you have questions about the safeguards that we use to protect your data or would like to request a copy, you can contact us at privacy@mathworks.com."
0	Your Choices About Your Information Opting out of marketing and sales commercial email communications MathWorks sends many types of email including electronic newsletters (MathWorks News & Notes and MATLAB? Digest) and event announcements.
0	"We also may contact you for marketing or sales purposes using the information provided to us by you or on your behalf through our web site or through our sales channels, resellers and distributors, or business partners such as those who help us manage events"
0	You may choose not to receive these types of communications.
0	"To opt out, you can unsubscribe online using the email list removal form or follow the opt-out instructions contained in emails you receive."
1	"Informational communications For licensed customers, including trial users, we contact you for purposes of communicating with you about the MathWorks products or services that you are licensing or using."
0	"These are transactional messages that provide information about, for example, software updates, upcoming renewals, and new releases to which you have access under your current license."
0	You cannot opt out of these messages while you have an active license because they contain important information about your licensed products and the services you are using.
0	"Blocking cookies and web-based advertising You can use browser settings and third-party services to block cookies, advertisements, and certain other kinds of information transmitted over the Internet."
0	"For more details, consult your web browser¡¦s documentation and help pages, and see our sections below on cookies and third-party advertising."
1	"Changing, correcting, or deleting your personal information\n\nMathWorks Account holders may make changes and corrections to personal information online."
