tag	text
0	"This Privacy Policy explains how A Medium Corporation (“Medium,” “we,” or “us”) collects, uses, and discloses information about you."
0	"This Privacy Policy applies when you use our websites, mobile applications, and other online products and services that link to this Privacy Policy (collectively, our “Services”), contact our customer service team, engage with us on social media, or otherwise interact with us."
0	We may change this Privacy Policy from time to time.
0	"If we make changes, we will notify you by revising the date at the top of this policy and, in some cases, we may provide you with additional notice (such as adding a statement to our website or providing you with a notification)."
0	We encourage you to review this Privacy Policy regularly to stay informed about our information practices and the choices available to you.
0	COLLECTION OF INFORMATION
0	Information You Provide to Us
0	We collect information you provide directly to us. 
0	"For example, you share information directly with us when you create an account, fill out a form, submit or post content through our Services, purchase a membership, communicate with us via third-party platforms, request customer support, or otherwise communicate with us."
0	"The types of personal information we may collect include your name, display name, username, bio, email address, business information, your content, including your avatar image, photos, posts, responses, and series published by you, and any other information you choose to provide."
0	"In some cases, we may also collect information you provide about others, such as when you purchase a Medium membership as a gift for someone."
0	"We will use this information to fulfill your request and will not send communications to your contacts unrelated to your request, unless they separately consent to receive communications from us or otherwise engage with us."
0	We do not collect payment information through our Services. 
0	We rely on third parties to process payments in connection with our Services.
0	"Any information you provide to facilitate such a payment is subject to the third-party payment processor’s privacy policy, and we encourage you to review this policy before you provide any information to the payment processor."
0	Information We Collect Automatically When You Interact with Us
0	"In some instances, we automatically collect certain information, including:"
0	Activity Information:
0	"We collect information about your activity on our Services, such as your reading history and when you share links, follow users, highlight posts, and clap for posts."
0	Transactional Information:
0	"When you purchase a membership, we collect information about the transaction, such as subscription details, purchase price, and the date of the transaction."
0	Device and Usage Information:
0	"We collect information about how you access our Services, including data about the device and network you use, such as your hardware model, operating system version, mobile network, IP address, unique device identifiers, browser type, and app version. "
0	"We also collect information about your activity on our Services, such as access times, pages viewed, links clicked, and the page you visited before navigating to our Services."
0	Information Collected by Cookies and Similar Tracking
0	Technologies: 
0	"We use tracking technologies, such as cookies and web beacons, to collect information about you. "
0	"Cookies are small data files stored on your hard drive or in device memory that help us improve our Services and your experience, see which areas and features of our Services are popular, and count visits. "
0	"Web beacons (also known as “pixel tags” or “clear GIFs”) are electronic images that we use on our Services and in our emails to help deliver cookies, count visits, and understand usage."
0	Information We Collect from Other Sources
0	We obtain information from third-party sources. 
0	"For example, we may collect information about you from social networks, accounting services providers and data analytics providers. "
0	"Additionally, if you create or log into your Medium account through a third-party platform (such as Apple, Facebook, Google, or Twitter), we will have access to certain information from that platform, such as your name, lists of friends or followers, birthday, and profile picture, in accordance with the authorization procedures determined by such platform."
0	Information We Derive
0	We may derive information or draw inferences about you based on the information we collect.
0	"For example, we may make inferences about your location based on your IP address or infer reading preferences based on your reading history."
0	USE OF INFORMATION
0	"We use the information we collect to provide, maintain, and improve our Services, which includes publishing and distributing user-generated content, personalizing the posts you see and operating our metered paywall. "
0	We also use the information we collect to:
0	Create and maintain your Medium account;
0	"Process transactions and send related information, such as confirmations, receipts, and user experience surveys;"
0	"Send you technical notices, security alerts, and support and administrative messages;"
0	Respond to your comments and questions and provide customer service;
0	"Communicate with you about new content, products, services, and features offered by Medium and provide other news and information we think will interest you (see Your Choices below for information about how to opt out of these communications at any time);"
0	"Monitor and analyze trends, usage, and activities in connection with our Services;"
0	SHARING OF INFORMATION
0	We share personal information in the following circumstances or as otherwise described in this policy:
0	We share personal information with other users of the Services.
0	"For example, if you use our Services to publish content, post comments or send private notes, certain information about you will be visible to others, such as your name, photo, bio, other account information you may provide, and information about your activities on our Services (e.g., your followers and who you follow, recent posts, claps, highlights, and responses)."
1	"We share personal information with vendors, service providers, and consultants that need access to personal information in order to perform services for us, such as companies that assist us with web hosting, storage, and other infrastructure, analytics, payment processing, fraud prevention and security, customer service, communications, and marketing."
0	"We may disclose personal information if we believe that disclosure is in accordance with, or required by, any applicable law or legal process, including lawful requests by public authorities to meet national security or law enforcement requirements."
