tag	text
0	"Notion Labs, Inc. (“Notion,” “we,” “us,” and “our”) provides an all-in-one workspace allowing our users to write, plan, collaborate, and get organized. Our Privacy Policy (“Privacy Policy”) is designed to help you understand how we collect, use and share your personal information and to assist you in exercising the privacy rights available to you."
0	## **Scope**
0	"This Privacy Policy covers the personal information we collect about you when you use our products or services, or otherwise interact with us, including on our website at [www.notion.so](http://www.notion.so/), mobile applications (“**Apps**”), and our related online and offline offerings (collectively, the “**Services**”). This policy also explains your choices surrounding how we use your personal information, which include how you can object to certain uses of the information and how you can access and update certain information."
0	## 1. Personal Information we collect
0	"We collect personal information when you provide it to us, when you use our Services, and when other sources provide it to us, as further described below."
0	**A. Information You Provide to Us**
0	"**Account Creation:** When you create an account or otherwise use the Services, we collect information such as your name, email address, password, role within your team or enterprise, and an optional profile photo."
0	"**Your Communications with Us:** We collect personal information from you such as email address, phone number, or mailing address when you request information about our Services, register for our newsletter, request customer or technical support, or otherwise communicate with us. We also collect the contents of messages or attachments that you may send to us, as well as other information you choose to provide, and that may be associated with your communications."
0	"**Payment Information:** When you choose to subscribe for Personal, Team, or Enterprise plans on the Services, we will collect payment information allowing you to pay us. We use third-party payment providers to process payments on the Services. We may receive information associated with your payment information, such as billing address and transaction information, but we do not directly store payment information on the Services."
0	"**Surveys:** We may contact you to participate in surveys. If you decide to participate, you may be asked to provide certain information which may include personal information."
1	"**Interactive Features:** We may offer interactive features such as forums, blogs, chat and messaging services, and social media pages. We and others who use our Services may collect the information you submit or make available through these interactive features. Any content you provide via the public sections of these features will be considered “public” and is not subject to the privacy protections referenced herein. By using these interactive features, you understand that the personal information provided by you may be viewed and used by third parties for their own purposes."
0	"**Registration for Sweepstakes or Contests:** We may run sweepstakes and contests. Contact information you provide may be used to inform you about the sweepstakes or contest and for other promotional, marketing and business purposes."
0	"**Conferences, Trade Shows, and Other Events:** We may attend conferences, trade shows, and other events where we collect personal information from individuals who interact with or express an interest in the Services."
0	"**Job Applications**. We may post job openings and opportunities on the Services. If you reply to one of these postings by submitting your application, CV and/or cover letter to us, we will collect and use your information to assess your qualifications."
0	**B. Information Collected Automatically**
0	"**Automatic Data Collection:** We keep track of certain information about you when you visit and interact with any of our Services. This information may include your Internet protocol (IP) address, user settings, MAC address, cookie identifiers, mobile carrier, mobile advertising and other unique identifiers, details about your browser, operating system or device, location information (including inferred location based off of your IP address), Internet service provider, pages that you visit before, during and after using the Services, information about the links you click, information about how you interact with the Services, including the frequency and duration of your activities, and other information about how you use the Services. Information we collect may be associated with accounts and other devices."
0	"**Cookies, Pixel Tags/Web Beacons, and Analytics Information:** We, as well as third parties that provide content, advertising, or other functionality on the Services, may use cookies, pixel tags, local storage, and other technologies (“Technologies”) to automatically collect information through the Services. Technologies are essentially small data files placed on your devices that allow us and our partners to record certain pieces of information whenever you visit or interact with our Services."
0	"- **Cookies:** Cookies are small text files placed in device browsers to store their preferences. Most browsers allow you to block and delete cookies. However, if you do that, the Services may not work properly."
